,Drug1,Drug2
1361,J04A,C09A
1362,C01D,L01B
1363,H02A,R03D
1364,A10B,G04C
1365,L04A,B01A
1366,S01A,L01D
1367,M01A,M03B
1368,J05A,L02A
1369,J05A,R06A
1370,S01A,N05C
1371,L04A,M03B
1372,N02C,N05A
1373,J01D,L01D
1374,C09C,C01E
1375,C09A,L02B
1376,N03A,A03B
1377,D07A,J01F
1378,S01E,L01X
1379,N06A,N05C
1380,N06A,N05C
1381,N06A,N02C
1382,M03B,A10B
1383,V03A,D05A
1384,V03A,C08D
1385,N06A,A04A
1386,L01B,N06A
1387,M03B,A10B
1388,R06A,C10A
1389,N07B,J05A
1390,L01C,L01X
1391,N01A,S01A
1392,L01C,J05A
1393,C09C,G04B
1394,D10A,M05B
1395,N07B,N06A
1396,N06A,N05B
1397,L01C,C10A
1398,A07D,N03A
1399,B01A,C09A
1400,B05C,C09C
1401,N04B,A10B
1402,A02B,J05A
1403,L01C,N05B
1404,B01A,N05A
1405,C08D,D01A
1406,A02B,N02A
1407,B05X,N05C
1408,B03B,J04A
1409,A03F,A10B
1410,L01B,A03B
1411,B03B,N01A
1412,A03F,N06A
1413,J01F,L01X
1414,C10A,L02B
1415,A03F,L01X
1416,C07A,C07A
1417,R03D,N05A
1418,N04B,N03A
1419,C10A,B01A
1420,N02A,R01A
1421,N06A,D01A
1422,R01A,C10A
1423,C03C,A10B
1424,C10A,R06A
1425,C02A,H05B
1426,C09A,C10A
1427,N01A,C03C
1428,J05A,H02A
1429,B01A,L01C
1430,H03A,J01X
1431,C09C,B01A
1432,C01D,J05A
1433,C09C,C03D
1434,V03A,N06A
1435,S01E,J01X
1436,S01A,B05X
1437,J05A,L01X
1438,A02B,N03A
1439,C03A,L02A
1440,J02A,J05A
1441,B01A,C07A
1442,N05B,N06A
1443,A10B,N03A
1444,C09C,S01E
1445,A10B,J05A
1446,M05B,P01A
1447,C10A,H02A
1448,R06A,J04A
1449,N05B,N06B
1450,C03D,J01F
1451,C09A,N05C
1452,L04A,C09C
1453,C10A,C09A
1454,M02A,A10B
1455,M05B,L01X
1456,J05A,N05C
1457,R01A,V03A
1458,N05C,J05A
1459,L02A,L02B
1460,J01F,C09C
1461,C03B,C09A
1462,J01X,R06A
1463,C03B,N05A
1464,H02A,D11A
1465,A10B,P01B
1466,A10B,C09A
1467,C07A,H02A
1468,C03A,N05A
1469,M03A,A02B
1470,C03A,C09A
1471,G04B,M05B
1472,C01D,R03D
1473,H02A,N06A
1474,J01F,L01B
1475,C08D,N07A
1476,N05C,B03B
1477,N01B,A01A
1478,M02A,M05B
1479,C01B,C01D
1480,N03A,G04B
1481,J05A,L01X
1482,C09C,J01D
1483,C07A,C07A
1484,N05B,J01F
1485,C07A,C01D
1486,J05A,C03C
1487,C10A,B01A
1488,R06A,C03D
1489,B05X,A04A
1490,A04A,M04A
1491,N06A,C03C
1492,C10A,D10A
1493,C10A,L01B
1494,L01X,N05A
1495,C03B,A04A
1496,M05B,C10A
1497,A02B,S01E
1498,V03A,R06A
1499,A10B,G03A
1500,C08C,N02A
1501,N03A,S01A
1502,A01A,D01A
1503,C03A,L01C
1504,A10B,C03B
1505,L01A,L04A
1506,L01B,J02A
1507,L02B,A06A
1508,A07D,A02B
1509,N05A,R01A
1510,N06A,M03B
1511,N02A,H05B
1512,J01F,G04B
1513,J01F,N02A
1514,R03A,C09A
1515,N06A,H02A
1516,S01A,M04A
1517,N03A,R01A
1518,R01A,J01F
1519,J05A,R01A
1520,A02B,G04C
1521,V03A,R01A
1522,N02B,J01F
1523,N02B,C08C
1524,R01A,N05B
1525,N02B,C01D
1526,N02A,N05A
1527,A10B,C04A
1528,A10B,J01F
1529,R01A,C09A
1530,R01A,A07D
1531,L01D,J05A
1532,J01C,C09A
1533,M05B,C03D
1534,L01D,L01X
1535,C02A,C10A
1536,S01A,M05B
1537,H03A,A03A
1538,A10B,N05B
1539,C09C,A07E
1540,R06A,M03B
1541,C07A,N03A
1542,D05A,M05B
1543,N05B,D07A
1544,N05B,B03B
1545,N05B,M03B
1546,A03B,B05C
1547,C07A,M01A
1548,L02B,M01A
1549,N05B,L01X
1550,A10B,B01A
1551,L01B,A02B
1552,C08C,S01A
1553,H03A,L01C
1554,L01C,L02B
1555,L01C,S01A
1556,S01E,B03B
1557,N07B,H02A
1558,N03A,M05B
1559,H03A,A04A
1560,M01A,J04A
1561,J01D,J01D
1562,C09A,N06A
1563,A02B,J01X
1564,J01D,J01D
1565,J01D,J01D
1566,N04A,N05C
1567,L01X,J01F
1568,N05A,C07A
1569,A07D,C02A
1570,L01A,C09C
1571,N05B,C10A
1572,C09C,A10B
1573,N03A,C09C
1574,J04A,J01X
1575,C10A,D11A
1576,R01A,N02A
1577,R01A,G04B
1578,C07A,M02A
1579,N05B,C03B
1580,N05B,M03B
1581,J01F,A02B
1582,S01A,A04A
1583,P01B,C10A
1584,N02B,N03A
1585,J05A,A04A
1586,N06A,N02C
1587,H02A,C01D
1588,H02A,A02B
1589,J01A,D10A
1590,N06A,J05A
1591,C01E,N06A
1592,V03A,L01X
1593,S01E,S01F
1594,H02A,J05A
1595,S01E,G04B
1596,M05B,A10B
1597,C07A,J01D
1598,N05B,M01A
1599,L02A,L02B
1600,C02C,L01X
1601,J05A,R01A
1602,N06A,J01D
1603,S01A,J05A
1604,B05C,C09A
1605,B05C,A02B
1606,J05A,R03D
1607,N05B,L01X
1608,C10A,A10B
1609,N05B,P01B
1610,C10A,S01A
1611,N05B,C03D
1612,D01A,N03A
1613,D01A,J05A
1614,C10A,C08C
1615,J01D,A02B
1616,J01D,C09A
1617,N05B,N05B
1618,M01A,C03D
1619,S01E,N05A
1620,J05A,C09C
1621,B01A,J01F
1622,N02A,B05C
1623,R01A,A06A
1624,C03A,C07A
1625,C07A,G04B
1626,N05B,R06A
1627,H02A,N05C
1628,N06B,C07A
1629,J02A,L01D
1630,G04B,L01X
1631,C10A,H01C
1632,J01X,N05A
1633,A03F,J01F
1634,J01X,M05B
1635,L01A,J04A
1636,B05X,C07A
1637,N06A,N02C
1638,N06A,J05A
1639,A04A,L01C
1640,J05A,C03A
1641,C10A,N06B
1642,C09A,M03B
1643,C07A,J05A
1644,N05C,J01F
1645,C07A,C05A
1646,J05A,N02C
1647,A03F,L01C
1648,L02A,L01C
1649,N02B,J05A
1650,J01A,J01F
1651,J05A,J05A
1652,R01A,L01X
1653,J01F,M03A
1654,S01A,C03D
1655,H02A,D11A
1656,J01D,B01A
1657,L01C,A04A
1658,N03A,N05B
1659,C10A,G04C
1660,N03A,A07D
1661,N03A,C09A
1662,C01E,B03B
1663,J05A,L04A
1664,C08D,J01X
1665,C08D,N05C
1666,C01E,C09A
1667,M03B,D11A
1668,N04B,C09C
1669,M01A,N05C
1670,D01A,C01D
1671,C02C,N05C
1672,J02A,D01A
1673,N02A,N05C
1674,M01A,G04B
1675,C10A,M02A
1676,G04B,C05A
1677,A10B,A04A
1678,J01D,V03A
1679,C03B,J01F
1680,A01A,L01C
1681,N06A,L01X
1682,C10A,C09A
1683,C08C,N03A
1684,S01E,A10B
1685,C03C,L02B
1686,R01A,J01D
1687,L01C,C09A
1688,N05B,N06B
1689,M05B,C10A
1690,L01B,N05B
1691,S01A,C02A
1692,C09C,A10B
1693,L02A,C04A
1694,C03B,A02B
1695,L01B,C09A
1696,J01A,A06A
1697,V03A,C01D
1698,N05A,N05C
1699,G04B,M01A
1700,J02A,N05A
1701,L02A,M05B
1702,C08D,L01X
1703,C08D,J01D
1704,C01D,D07A
1705,A02B,L01C
1706,C09A,L01X
1707,G04B,D07A
1708,J01C,D05A
1709,R06A,C09A
1710,J01C,C08D
1711,R03A,A03A
1712,B05C,C08C
1713,N02A,L01X
1714,C01E,N05C
1715,C01E,N02C
1716,J05A,L01A
1717,C01E,N05C
1718,N05C,A04A
1719,C01D,N03A
1720,C03D,L01X
1721,B01A,L02A
1722,C09C,N06B
1723,N04B,N04B
1724,C08C,C10A
1725,P01B,D07A
1726,N06D,G04B
1727,S01E,C07A
1728,C07A,L02B
1729,J01D,N05C
1730,J01D,N02C
1731,V03A,N02A
1732,B01A,C01D
1733,J01D,N05C
1734,B01A,A02B
1735,C02A,S01E
1736,S01A,C10A
1737,L01B,C09C
1738,C03A,J01X
1739,J01D,A02B
1740,N02A,A10B
1741,N02A,C07A
1742,D05A,C03D
1743,C01B,L01C
1744,J05A,J05A
1745,J04A,A07E
1746,N06A,J05A
1747,C09A,N03A
1748,N03A,L01X
1749,H02A,L01X
1750,J02A,R03D
1751,C10A,D11A
1752,C08D,S01A
1753,M01A,G04B
1754,N05A,J05A
1755,M02A,A07E
1756,J05A,A05A
1757,D07A,J01F
1758,J01D,J01F
1759,N02A,B01A
1760,A01A,N06A
1761,A01A,J01A
1762,J05A,J05A
1763,J01D,N05A
1764,C03C,B01A
1765,R03A,C01B
1766,N05A,C10A
1767,C08C,M05B
1768,J01A,D05A
1769,J02A,C01E
1770,B01A,J05A
1771,A03F,B01A
1772,B01A,A05A
1773,S01E,A07E
1774,N05C,C09C
1775,R06A,M02A
1776,N05B,J01D
1777,S01A,M01A
1778,N05B,M01A
1779,R03A,R06A
1780,N01B,N01A
1781,C08D,A10B
1782,H02A,D06B
1783,R03A,L02A
1784,C08D,R05D
1785,N05A,R06A
1786,N05B,N05A
1787,N05B,M05B
1788,J02A,A06A
1789,C03B,L02A
1790,L04A,L01C
1791,J05A,D11A
1792,L01X,S01E
1793,C03B,C01D
1794,C01B,N05A
1795,D11A,J01A
1796,M05B,C07A
1797,M05B,A10B
1798,J01D,J01D
1799,J01D,J01D
1800,M02A,R06A
1801,J01D,J01D
1802,A02B,H05B
1803,N02A,N07B
1804,J01D,C10A
1805,M05B,C03C
1806,R06A,C07A
1807,C01D,G04B
1808,M05B,N06D
1809,N05B,M05B
1810,P01B,A03F
1811,N06B,A06A
1812,R06A,N05C
1813,J01D,N03A
1814,N05B,G04B
1815,C01B,B05C
1816,A01A,R03A
1817,N06A,G03X
1818,C07A,H01B
1819,N06A,A02B
1820,J01D,R01A
1821,B01A,N01A
1822,J01D,J05A
1823,S01E,C04A
1824,R06A,J01F
1825,D08A,L01C
1826,N05C,N05C
1827,B01A,V03A
1828,S01E,S01E
1829,C09A,R03A
1830,M02A,J02A
1831,N04B,N03A
1832,N02B,N05A
1833,R06A,J01E
1834,C10A,C10A
1835,B03B,L01D
1836,L04A,C09C
1837,D01A,R03D
1838,N05A,M03B
1839,J02A,A10B
1840,C10A,R06A
1841,N03A,C07A
1842,C07A,S01A
1843,N03A,N06B
1844,N03A,N01A
1845,N06A,P01A
1846,M01A,N05A
1847,N06B,N06B
1848,L01X,A04A
1849,L01C,A02B
1850,P01A,C10A
1851,N03A,M04A
1852,N02C,C10A
1853,G04C,C04A
1854,N05A,N02C
1855,N05A,N05C
1856,R01A,N06A
1857,M03A,A06A
1858,C09A,N05B
1859,C05A,C09C
1860,V03A,R01A
1861,C05A,J01X
1862,A10B,A10B
1863,A04A,R03A
1864,S01E,S01E
1865,M02A,C09C
1866,M02A,C10A
1867,C09A,A02B
1868,G04C,C04A
1869,N05C,M01A
1870,N06B,C10A
1871,J05A,M05B
1872,J05A,N05A
1873,M02A,A07E
1874,N02B,G04C
1875,N06A,N05A
1876,C07A,M01A
1877,A02B,J01F
1878,A02B,J01F
1879,C07A,J01D
1880,N05B,R03D
1881,J05A,J05A
1882,J02A,S01A
1883,A01A,C09C
1884,V03A,L01X
1885,H02A,N03A
1886,J02A,D10A
1887,N05B,A03F
1888,C01B,N05C
1889,J05A,G04C
1890,C05A,H05B
1891,M05B,N03A
1892,C03B,C09A
1893,C03B,A02B
1894,D05A,N03A
1895,N03A,L02A
1896,J02A,S01A
1897,A04A,C08C
1898,L01X,R03D
1899,B01A,C09A
1900,N03A,J01X
1901,N05A,J02A
1902,R01A,C09A
1903,A02B,L01X
1904,R06A,L01X
1905,N05C,N05A
1906,C10A,M03A
1907,J05A,D01A
1908,C07A,S01E
1909,B05X,C10A
1910,A02B,H02A
1911,N02B,L04A
1912,C09C,M01A
1913,B01A,M03A
1914,R01A,N06B
1915,G04B,B01A
1916,C03C,N05B
1917,A03A,B01A
1918,J02A,J05A
1919,S01E,R01A
1920,V03A,J01A
1921,C09A,L01X
1922,C07A,M05B
1923,R01A,L01X
1924,C09A,M03A
1925,C01D,N03A
1926,H02A,C09A
1927,N03A,A02B
1928,H02A,N05A
1929,R01A,N03A
1930,R01A,N05C
1931,C07A,L01B
1932,A02B,N03A
1933,C09C,C05A
1934,B03B,M03B
1935,C07A,R03D
1936,G04C,G04B
1937,C07A,C04A
1938,C07A,N05A
1939,C07A,D06B
1940,A02B,A03F
1941,G03X,S01E
1942,M01A,N05C
1943,C07A,C10A
1944,N06B,B01A
1945,L01X,N01A
1946,B01A,S01A
1947,M05B,M05B
1948,B01A,D10A
1949,C03B,H02A
1950,C10A,A02B
1951,J01X,J01A
1952,N05A,G04B
1953,L02A,N01A
1954,J01F,J05A
1955,J05A,C10A
1956,R01A,A03A
1957,J01F,N03A
1958,R01A,J01C
1959,C08C,C08C
1960,M01A,A02B
1961,A02B,N05C
1962,A10B,A03F
1963,S01E,M03B
1964,L02A,N07B
1965,H03A,M03C
1966,C08C,H01B
1967,H03A,D10A
1968,N04B,M04A
1969,C10A,L01B
1970,C10A,C10A
1971,C10A,S01A
1972,C03A,V03A
1973,C04A,N07B
1974,C03C,C01D
1975,R06A,C01B
1976,L02B,D01A
1977,A02B,L01B
1978,J01A,G04B
1979,C09A,R03D
1980,C10A,M03A
1981,C02C,L01X
1982,S01E,N05C
1983,S01E,N03A
1984,J01D,C09A
1985,J01D,A07D
1986,C02C,N04A
1987,J01D,N05B
1988,N03A,N07B
1989,N03A,C09C
1990,V03A,C09A
1991,V03A,A07D
1992,C10A,A03F
1993,A03F,S01E
1994,S01A,R06A
1995,V03A,N05B
1996,G03X,J01F
1997,V03A,R06A
1998,C01B,R01A
1999,N06A,C09A
2000,C09C,S01E
2001,J05A,B05X
2002,J01D,J02A
2003,L04A,A02B
2004,S01E,A02B
2005,C01E,C08D
2006,J01D,C05A
2007,N03A,L01B
2008,N03A,J02A
2009,C10A,A02B
2010,J04A,M03B
2011,L01C,N02A
2012,R01A,J05A
2013,N05C,R01A
2014,L01C,A03B
2015,C03B,M02A
2016,C01B,N06A
2017,C08C,L02B
2018,R01A,C03A
2019,M03B,A02B
2020,M03B,A04A
2021,C01B,A03F
2022,H02A,N02C
2023,H02A,N02C
2024,C10A,C10A
2025,J02A,J05A
2026,C09A,G04B
2027,H02A,A10B
2028,N05B,J01X
2029,B03B,M03B
2030,C08D,A07E
2031,J02A,N01A
2032,C07A,C10A
2033,N01A,L01X
2034,M05B,A02B
2035,C07A,C10A
2036,N06A,G04B
2037,H03A,D06B
2038,S01A,M02A
2039,N05A,S01E
2040,S01A,A01A
2041,C10A,B03B
2042,J01D,N04B
2043,L04A,J02A
2044,N03A,N05A
2045,G03X,L01X
2046,C09C,R06A
2047,N04B,J01A
2048,L01D,C08C
2049,C02C,A07D
2050,C02C,C09A
2051,C02C,N05B
2052,H03A,N06B
2053,C01D,N05A
2054,B01A,M03A
2055,L01B,L01C
2056,B01A,C03C
2057,H03A,J01F
2058,M01A,J05A
2059,M03B,J01A
2060,N06A,S01E
2061,M05B,G04C
2062,A01A,C10A
2063,N05A,C03C
2064,J05A,R03D
2065,R01A,J01F
2066,N06A,N05A
2067,N06A,M04A
2068,C10A,C08C
2069,A16A,B03B
2070,C09A,L02A
2071,R06A,C09A
2072,N02A,B05X
2073,R06A,G03X
2074,N02B,L02B
2075,J01D,G04C
2076,N06A,A02B
2077,R01A,M04A
2078,L01C,J05A
2079,L01C,M04A
2080,M01A,R01A
2081,M03B,N06A
2082,A03F,M04A
2083,R01A,D11A
2084,M03B,J05A
2085,V03A,H05B
2086,A07E,J01X
2087,J01D,B01A
2088,G04C,N05C
2089,C08C,N06A
2090,C03C,A10B
2091,J01C,N05C
2092,L01B,C07A
2093,N06A,N05C
2094,N05B,N06D
2095,N02C,N02C
2096,C08C,A06A
2097,N02B,N02A
2098,C08D,D11A
2099,H03A,J01C
2100,H03A,S01A
2101,N02C,N05C
2102,G04C,A07E
2103,S01E,N05A
2104,J05A,N05C
2105,J01F,A06A
2106,L04A,N06A
2107,N02A,J05A
2108,V03A,D01A
2109,C01E,C10A
2110,M03B,R01A
2111,C07A,A10B
2112,L01C,D01A
2113,N02A,C10A
2114,C07A,N02C
2115,C07A,N02C
2116,B03B,C09C
2117,B05X,B01A
2118,N05B,N05A
2119,A10B,G04B
2120,A10B,N02A
2121,R03A,C07A
2122,H02A,C01B
2123,N02A,C07A
2124,N02A,C03B
2125,N02A,P01A
2126,C09C,N05C
2127,C01B,C10A
2128,C08D,J04A
2129,J02A,C02A
2130,C01E,C10A
2131,C07A,A06A
2132,V03A,L01X
2133,A04A,L02B
2134,L01B,C07A
2135,L01B,P01A
2136,J01C,A10B
2137,J05A,J01X
2138,A10B,L01X
2139,N05A,L01X
2140,A10B,A05A
2141,R03D,S01A
2142,A10B,J05A
2143,S01A,B05C
2144,N01B,M03A
2145,N06D,N02C
2146,D11A,C01D
2147,M01A,R03A
2148,B05X,N03A
2149,N06B,N01A
2150,N06B,N06A
2151,R01A,M04A
2152,R06A,N06B
2153,R06A,G04C
2154,G04C,N05C
2155,N05B,C08C
2156,M03B,C09A
2157,N05B,C10A
2158,D05A,C01E
2159,C08C,A10B
2160,G04B,N07B
2161,C09C,N03A
2162,L01B,P01A
2163,C07A,C09C
2164,L01B,C07A
2165,N05C,D11A
2166,B05C,A02B
2167,B05C,A04A
2168,N02C,N05A
2169,G04B,C10A
2170,J05A,J05A
2171,J05A,R03A
2172,B01A,D11A
2173,A01A,M01A
2174,N02B,B03B
2175,C02C,M05B
2176,H02A,G04B
2177,D10A,L01X
2178,C09C,C07A
2179,C09C,N01A
2180,C08C,M03A
2181,L01C,C09C
2182,L01C,J01X
2183,C07A,M05B
2184,J01D,L01C
2185,R03A,S01A
2186,J01A,A04A
2187,H03A,G03A
2188,N05B,J01X
2189,N06A,R03A
2190,H03A,S01A
2191,J02A,S01A
2192,A03F,J01C
2193,L01A,H02A
2194,R03A,L02B
2195,G04C,L01X
2196,J05A,J04A
2197,G04B,N03A
2198,J01F,R03D
2199,R06A,R03A
2200,A02B,G04B
2201,R01A,L01B
2202,A02B,S01E
2203,B01A,R01A
2204,L01B,R03D
2205,N05C,N04B
2206,N05C,N04B
2207,J01D,L01D
2208,N01A,D01A
2209,C07A,A02B
2210,N04B,N04B
2211,S01E,R03D
2212,A04A,C10A
2213,M02A,P01B
2214,J02A,D10A
2215,A02B,N05A
2216,S01E,A10B
2217,C10A,N02A
2218,N03A,G04C
2219,C03B,C09A
2220,N05A,N01A
2221,R01A,J01D
2222,N05C,N03A
2223,N05C,N05C
2224,H02A,H05B
2225,L01A,N05C
2226,N02A,D10A
2227,C01B,N03A
2228,C08D,J05A
2229,C03D,M01A
2230,N02A,S01A
2231,N03A,N04B
2232,N02B,N05C
2233,C04A,H05B
2234,C09A,R03A
2235,N02A,L01A
2236,C09A,J05A
2237,M01A,M05B
2238,C09A,C09A
2239,C01B,R03D
2240,J05A,B03B
2241,J05A,J05A
2242,J01D,C03C
2243,J05A,C10A
2244,S01A,M04A
2245,L01A,J05A
2246,L01A,A05A
2247,N05A,D10A
2248,D11A,N05B
2249,R03D,G04C
2250,M01A,N05A
2251,V03A,A04A
2252,L02B,L01D
2253,C08C,J01D
2254,S01E,A10B
2255,A01A,H05B
2256,C01B,M05B
2257,H03A,S01A
2258,N02B,A06A
2259,R06A,N06A
2260,C01B,R03A
2261,H03A,L02B
2262,R06A,D11A
2263,J01D,C09C
2264,H02A,R01A
2265,J05A,S01A
2266,N02A,H01C
2267,J01D,R01A
2268,L01C,C10A
2269,C09A,N06A
2270,N05C,M05B
2271,N05A,M05B
2272,C07A,C03D
2273,C08D,G04B
2274,P01A,C04A
2275,C09C,H01C
2276,J01D,D01A
2277,J05A,D11A
2278,G04C,D01A
2279,N05C,L01X
2280,B05C,D01A
2281,S01E,L02A
2282,N05B,G03A
2283,A02B,J02A
2284,N06A,H02A
2285,J05A,A10B
2286,G04B,N02C
2287,R06A,R01A
2288,C09C,R01A
2289,N03A,N06A
2290,N03A,G03A
2291,N03A,A10B
2292,R01A,C10A
2293,C03C,M03B
2294,M03B,J01F
2295,N05A,G04C
2296,J05A,C09A
2297,J01A,B05X
2298,S01E,L01X
2299,R03A,C08C
2300,C07A,M01A
2301,C03D,D06B
2302,H02A,N04B
2303,D11A,C07A
2304,C10A,G04B
2305,C01D,A06A
2306,L01C,R03D
2307,D11A,R06A
2308,D11A,M01A
2309,D11A,M02A
2310,C03C,S01A
2311,C09A,C08C
2312,A03A,A02B
2313,C03C,L02B
2314,J01C,C05A
2315,D08A,N05C
2316,L04A,N07A
2317,J02A,J02A
2318,S01A,D01A
2319,R01A,A02B
2320,N05A,N05C
2321,M04A,C10A
2322,C09C,C03B
2323,C09C,C07A
2324,N03A,B05X
2325,R06A,N03A
2326,B01A,J01A
2327,N05A,N03A
2328,V03A,H05B
2329,C08D,M05B
2330,M03B,M05B
2331,J01D,D10A
2332,B01A,N05A
2333,C10A,C03C
2334,D10A,J04A
2335,C03C,N04A
2336,A10B,L01X
2337,H02A,N05A
2338,H02A,M05B
2339,C03C,J01E
2340,N05C,M02A
2341,N03A,M04A
2342,R06A,C01D
2343,C07A,A10B
2344,J05A,S01A
2345,J04A,N03A
2346,N05B,J05A
2347,D08A,J05A
2348,N07A,C01D
2349,L01B,L01X
2350,C07A,C03C
2351,C07A,N06D
2352,N05A,M05B
2353,C10A,A03F
2354,C10A,A07E
2355,M05B,J01D
2356,L01C,C09A
2357,N03A,J05A
2358,M03B,A02B
2359,M05B,J01D
2360,G04B,G04B
2361,G04B,G04B
2362,J04A,C08C
2363,L02B,N04B
2364,C09A,C08C
2365,N05A,A02B
2366,N05A,A10B
2367,C10A,C10A
2368,G04C,C02A
2369,N05A,N02C
2370,N05A,N02C
2371,A10B,N05C
2372,N02A,L02B
2373,C09A,C03C
2374,P01A,J04A
2375,S01A,A10B
2376,N06A,C10A
2377,R01A,N02C
2378,C08D,G04B
2379,A04A,C10A
2380,C09A,D07A
2381,C08C,J05A
2382,M02A,C09A
2383,N06B,L01X
2384,C01B,H02A
2385,C05A,N07B
2386,D08A,C01D
2387,N05B,N05C
2388,A04A,L01X
2389,C08D,L04A
2390,J01E,A10B
2391,N06A,R03D
2392,M03B,N03A
2393,C09A,N05A
2394,S01E,D11A
2395,M01A,C10A
2396,M01A,C09C
2397,N05B,M05B
2398,N06A,L02A
2399,M03B,A04A
2400,C01D,C03D
2401,R01A,G04C
2402,B03B,N06B
2403,N06A,R06A
2404,M05B,M01A
2405,M05B,N05B
2406,N05B,L01B
2407,N06B,M05B
2408,N05B,J01A
2409,J01X,C07A
2410,J01X,N01A
2411,C03C,M01A
2412,J05A,A04A
2413,C10A,M05B
2414,A02B,M03A
2415,L01C,C09A
2416,C10A,N05C
2417,C10A,N05A
2418,N05B,G04C
2419,C07A,R06A
2420,L02B,L02A
2421,N07B,N05A
2422,L04A,B05X
2423,N03A,N05C
2424,S01E,L01C
2425,C01D,M05B
2426,C01B,A10B
2427,M05B,R03D
2428,C09A,N03A
2429,C01B,G04B
2430,L01D,D10A
2431,P01A,S01A
2432,L01D,D01A
2433,N03A,J01X
2434,M05B,H02A
2435,N04A,N03A
2436,C09A,N06A
2437,J02A,A02B
2438,J02A,C09A
2439,L01B,L01X
2440,H01B,C10A
2441,C07A,L04A
2442,N02B,M02A
2443,M03B,B01A
2444,R06A,N06B
2445,J02A,C09A
2446,J02A,N05A
2447,C07A,R01A
2448,J01E,J01F
2449,A10B,H05B
2450,R03D,C03C
2451,B01A,B01A
2452,A01A,N02C
2453,M01A,M05B
2454,A01A,A10B
2455,L04A,N02C
2456,C10A,M04A
2457,N03A,A06A
2458,M03B,G04C
2459,J01A,M01A
2460,G03X,N05C
2461,N06B,N03A
2462,B01A,C08C
2463,N06A,N03A
2464,B01A,N06A
2465,C07A,C03B
2466,N06B,H02A
2467,P01B,J05A
2468,J01F,J01A
2469,J01F,N06A
2470,J01F,S01A
2471,A02B,J05A
2472,A02B,R03A
2473,C07A,M03B
2474,N05A,C09A
2475,M01A,C10A
2476,C07A,B03B
2477,G04B,C10A
2478,C07A,C10A
2479,N06B,L01X
2480,R06A,A06A
2481,N04B,C07A
2482,L01C,L01A
2483,L01C,N06A
2484,L02B,C07A
2485,D08A,R01A
2486,J01A,C05A
2487,S01E,A10B
2488,M01A,A02B
2489,C01B,A10B
2490,C08C,C03A
2491,V03A,P01B
2492,L01D,J05A
2493,G04B,S01E
2494,M01A,J01D
2495,S01A,A10B
2496,A02B,N06B
2497,N05A,J05A
2498,M05B,R01A
2499,M02A,N06A
2500,J01D,S01A
2501,R06A,N05B
2502,C08D,A04A
2503,G04C,C01B
2504,C01D,A02B
2505,C09A,C09A
2506,V03A,N05B
2507,C03C,M03B
2508,M01A,A07E
2509,A02B,J05A
2510,L04A,M02A
2511,N02A,G04C
2512,N05B,N06A
2513,S01A,M01A
2514,H03A,N06D
2515,C10A,R06A
2516,H03A,M01A
2517,N05B,A02B
2518,C02C,A10B
2519,A07D,N05C
2520,A02B,A10B
2521,A10B,N05A
2522,H03A,R06A
2523,S01E,S01A
2524,D01A,R01A
2525,P01A,C10A
2526,N06D,A02B
2527,S01E,D11A
2528,A06A,V03A
2529,A10B,C09A
2530,C02C,H05B
2531,C10A,N04B
2532,A03A,N02C
2533,B03B,C09A
2534,V03A,N02A
2535,C10A,C01B
2536,C07A,A10B
2537,N06A,N06A
2538,N06A,A10B
2539,S01E,A10B
2540,J01C,C09A
2541,A02B,J01A
2542,N06B,N03A
2543,C03C,D01A
2544,L01D,R06A
2545,R01A,L01X
2546,J01D,M01A
2547,C09C,G04B
2548,C09C,L02B
2549,L04A,N05C
2550,J05A,J05A
2551,M01A,J04A
2552,C07A,R01A
2553,L04A,H02A
2554,C09C,H03B
2555,A04A,S01A
2556,N07A,V03A
2557,C03C,J01D
2558,C02C,L01B
2559,C02C,J02A
2560,A04A,D10A
2561,N05A,M04A
2562,C10A,H05B
2563,D01A,N02A
2564,J02A,R01A
2565,C10A,C07A
2566,V03A,C01D
2567,R06A,C03C
2568,A02B,N06A
2569,M03B,N03A
2570,M01A,N01A
2571,L01X,J01E
2572,N02A,G04B
2573,J05A,N05B
2574,M01A,C10A
2575,M01A,C03D
2576,C10A,R01A
2577,B03B,N07B
2578,N05A,M05B
2579,N05B,G04C
2580,N05B,D01A
2581,A03F,D07A
2582,C09A,L01C
2583,C07A,S01A
2584,N01A,N05C
2585,N03A,L01B
2586,N03A,C10A
2587,N03A,S01A
2588,V03A,A07E
2589,N04B,R06A
2590,B05X,M04A
2591,H02A,C09C
2592,C09A,L01D
2593,M01A,G04C
2594,N05C,A10B
2595,H02A,L01C
2596,A07E,C10A
2597,B01A,J02A
2598,C08D,C03D
2599,R03A,N06A
2600,L04A,H02A
2601,D01A,J04A
2602,C07A,M01A
2603,L01B,L02B
2604,R01A,N05C
2605,R01A,J01X
2606,C08C,C07A
2607,N01B,N05C
2608,J01D,A02B
2609,C03A,C01E
2610,N06A,N02C
2611,J01D,C03D
2612,C03A,R03D
2613,C03A,N05C
2614,D01A,N05A
2615,N02C,C01D
2616,R01A,A03A
2617,C10A,C10A
2618,A03F,J05A
2619,A03F,R03A
2620,N03A,C02C
2621,C08D,C02A
2622,C10A,C08C
2623,C09A,M05B
2624,H03A,C10A
2625,C09A,N05A
2626,J05A,S01A
2627,L02B,S01E
2628,J01F,L01X
2629,L04A,L04A
2630,N02A,A06A
2631,R06A,J04A
